INFO   | jvm 1    | main    | 2014/01/06 12:24:25.308 | [0;32mINFO  [WrapperSimpleAppMain] [DefaultWURFLService] DefaultWURFLService created
INFO   | jvm 1    | main    | 2014/01/06 12:24:25.609 | [m[0;33mWARN  [WrapperSimpleAppMain] [DefaultAtsCommerceStockServiceFactoryBean] Could not find bean 'atsCommerceStockService', using fallback commerceStockService instead.
INFO   | jvm 1    | main    | 2014/01/06 12:24:25.712 | [m[0;33mWARN  [WrapperSimpleAppMain] [AbstractEventListener] Found missing tenantService dependency for bean com.hybris.instore.yinstoreinitialdata.events.InstoreOnCoreDataImportEventListener@18bee682, please adjust spring configuration
INFO   | jvm 1    | main    | 2014/01/06 12:24:25.715 | [m[0;33mWARN  [WrapperSimpleAppMain] [AbstractEventListener] Found missing clusterService dependency for bean com.hybris.instore.yinstoreinitialdata.events.InstoreOnCoreDataImportEventListener@18bee682, please adjust spring configuration
INFO   | jvm 1    | main    | 2014/01/06 12:24:25.718 | [m[0;33mWARN  [WrapperSimpleAppMain] [AbstractEventListener] Found missing tenantService dependency for bean com.hybris.instore.yinstoreinitialdata.events.InstoreOnSampleDataImportEventListener@56516b6b, please adjust spring configuration
INFO   | jvm 1    | main    | 2014/01/06 12:24:25.721 | [m[0;33mWARN  [WrapperSimpleAppMain] [AbstractEventListener] Found missing clusterService dependency for bean com.hybris.instore.yinstoreinitialdata.events.InstoreOnSampleDataImportEventListener@56516b6b, please adjust spring configuration
INFO   | jvm 1    | main    | 2014/01/06 12:24:26.124 | [m[0;32mINFO  [WrapperSimpleAppMain] [HybrisContextFactory] - Refreshing SpringContext (hybris Application context - master) took: (17.34 s)
INFO   | jvm 1    | main    | 2014/01/06 12:24:26.129 | [m[0;32mINFO  [WrapperSimpleAppMain] [HybrisContextFactory] Initializing application Spring ApplicationContext for tenant master  took: (19.85 s)
INFO   | jvm 1    | main    | 2014/01/06 12:24:26.132 | [m[0;32mINFO  [WrapperSimpleAppMain] [DefaultBroadcastService] updating cluster island ID -1->15481895993514000
INFO   | jvm 1    | main    | 2014/01/06 12:24:26.237 | [m[0;32mINFO  [WrapperSimpleAppMain] [VjdbcServerWrapper] VJDBC server established successfully 
INFO   | jvm 1    | main    | 2014/01/06 12:24:26.339 | [m[0;32mINFO  [AfterSaveEventPublisher-master] [DefaultModelConverterRegistry] loading model converters: 
INFO   | jvm 1    | main    | 2014/01/06 12:24:26.340 | [m[0;32mINFO  [AfterSaveEventPublisher-master] [DefaultModelConverterRegistry] 	pre-fetch mode:default
INFO   | jvm 1    | main    | 2014/01/06 12:24:26.441 | [m[0;32mINFO  [WrapperSimpleAppMain] [SolrCoreRegistry] Initializing Solr core components
INFO   | jvm 1    | main    | 2014/01/06 12:24:26.643 | [m[0;32mINFO  [WrapperSimpleAppMain] [TimerTaskUtils] Starting CronJob timer ...
INFO   | jvm 1    | main    | 2014/01/06 12:24:26.644 | [m[0;32mINFO  [WrapperSimpleAppMain] [TimerTaskUtils] CronJob timer started (interval 30 sec)
INFO   | jvm 1    | main    | 2014/01/06 12:24:26.845 | [m[0;32mINFO  [WrapperSimpleAppMain] [TimerTaskUtils] Starting CronJob timer ...
INFO   | jvm 1    | main    | 2014/01/06 12:24:26.846 | [m[0;32mINFO  [WrapperSimpleAppMain] [TimerTaskUtils] CronJob timer already started!
